n,m,bf,fw,dp,df
16,15,2.66133,1985.26,84.3683,2.41174
16,15,2.37015,1919.82,120.039,1.88381
16,15,2.4164,1935.55,119.356,1.86309
16,15,2.40992,1926.92,120.345,2.00016
16,15,2.57494,1900.66,121.535,1.83368
16,15,2.45022,1927.45,121.268,1.91768
16,15,2.43755,2060.47,127.541,1.90021
16,15,2.38755,1986.11,118.33,1.91557
16,15,2.46147,2004.71,122.094,1.93418
16,15,2.45415,1998.52,118.351,1.85557
16,15,2.37684,2042.98,121.374,1.81701
16,15,2.07511,2039.08,161.646,3.10134
16,15,1.83512,2021.92,160.398,2.59825
16,15,1.85085,2118.45,167.806,2.565
16,15,1.82343,2055.29,160.847,2.56003
16,15,1.80898,2111.14,164.684,2.47029
16,15,1.79615,2056.33,161.533,2.5322
16,15,1.87445,1992.5,162.254,2.58383
16,15,1.90292,2118.14,163.154,2.55214
16,15,1.82831,2085.93,157.986,2.52095
16,15,1.85274,2032.29,161.117,2.58076
16,15,2.32237,2019.15,68.5761,1.59547
16,15,2.32054,2032.54,68.8855,1.78054
16,15,2.37515,2005.63,72.0009,1.61854
16,15,2.28023,2021.98,69.7284,2.83272
16,15,4.0378,2090.9,72.3468,1.60936
16,15,2.32388,1966.18,68.0584,1.66006
16,15,2.29404,2028.32,68.0623,1.60241
16,15,2.69015,2013.18,69.6184,1.64657
16,15,2.28415,2020.51,67.9862,1.76342
16,15,2.2655,1991.46,72.9849,1.67317
16,15,2.92352,2044.54,174.375,2.28893
16,15,2.97461,1972.36,182.421,2.35206
16,15,3.00033,2060.92,183.516,2.33746
16,15,2.97541,2108.81,179.934,2.32944
16,15,2.96159,2111.76,179.103,3.68295
16,15,2.99378,2107.91,180.932,2.42491
16,15,2.97519,2154.21,171.937,2.33201
16,15,3.26012,2118.3,176.19,2.33465
16,15,2.95761,2060.91,178.023,2.34524
16,15,2.93338,2173.49,174.034,2.32722
16,15,2.90272,2088.45,122.283,2.78377
16,15,2.98834,2130.14,123.186,4.85702
16,15,4.32729,2110.1,124.069,2.75991
16,15,2.87882,2256.14,121.631,2.76869
16,15,2.85594,2085.92,124.406,2.74555
16,15,2.86187,2078.53,124.187,2.81422
16,15,2.78658,2069.41,121.758,2.77004
16,15,2.89237,2059.67,121.938,2.71854
16,15,2.89932,2001.93,124.266,2.7846
16,15,2.88365,2175.01,122.441,3.07735
16,15,2.22255,1966.98,43.1836,1.80496
16,15,1.83602,2020.08,44.9185,1.80377
16,15,1.85177,1988.32,44.6314,1.75273
16,15,1.86369,1985.97,43.2192,1.75973
16,15,1.92845,2044.37,44.8498,1.84744
16,15,1.84918,1972.29,44.1904,1.79725
16,15,1.83039,1975.41,44.0683,1.8227
16,15,1.92088,2022.93,44.5139,1.7771
16,15,1.84599,2044.23,46.2763,3.48373
16,15,2.27847,2027.22,43.0852,1.80275
16,15,5.88864,2105.61,209.907,4.85334
16,15,5.15185,2074.49,210.347,5.08246
16,15,5.15924,2077.87,238.844,7.01765
16,15,7.31719,2189.68,196.796,5.58363
16,15,5.37826,1990.34,204.928,4.97367
16,15,5.22009,2071.67,205.42,5.33604
16,15,5.52335,2142.38,198.168,4.90503
16,15,5.1273,2018.84,203.455,5.27159
16,15,11.7622,2055.45,213.451,5.31921
16,15,5.51575,2113.07,207.347,5.55459
16,15,3.40101,2090.59,168.902,2.04441
16,15,3.50547,2054.46,175.552,2.06158
16,15,3.37008,2152.23,178.339,2.04699
16,15,3.37324,2114.43,176.05,2.05145
16,15,3.33848,2049.7,176.197,2.13121
16,15,3.43207,2219.94,173.871,2.10615
16,15,3.39849,2106.99,172.498,2.08863
16,15,3.42169,2059.01,173.791,2.04415
16,15,3.3572,2188.29,170.21,2.05893
16,15,3.40826,2104.39,174.396,2.61942
18,17,4.02544,3138.08,143.154,2.0139
18,17,2.42477,3148.53,142.949,1.99819
18,17,2.6514,3003.11,142.665,1.94794
18,17,2.45638,3051.54,144.432,2.74286
